partition,test_type,status,owner,model
parmiofblptx,atspeed_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,parmiofblptx_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiofblptx,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,parmiohap_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,stuckat_edt_edt_low_internal_serial_chain,MISSING,Mario,nio_uio-a0-26ww15a
parmiohap_uio_0,stuckat_edt_edt_low_internal_serial_scan,MISSING,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,parmioitc_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmioitc_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,parmiopcie6ttcore_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiopcie6ttcore_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,atspeed_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,atspeed_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,parmiostaticmux_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mario,nio_uio-a0-26ww15a
parmiostaticmux_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mario,nio_uio-a0-26ww15a
parmcmisc,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,ijtag_basic_tap_tests_rw_access,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_mc-a0-26ww15f
parmcmisc,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,stuckat_edt_edt_low_internal_serial_chain,MISSING,Mauricio,nio_mc-a0-26ww15f
parmcmisc,stuckat_edt_edt_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,atspeed_edt_bypass_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,atspeed_edt_edt_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,ijtag_basic_tap_tests_rw_access,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,scan_ctlr_stuckat_edt_bypass_low_internal_scandump,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,stuckat_edt_bypass_low_internal_serial_chain,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,stuckat_edt_bypass_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,stuckat_edt_edt_low_internal_serial_chain,MISSING,Mauricio,nio_mc-a0-26ww15f
parmemdfi0,stuckat_edt_edt_low_internal_serial_scan,MISSING,Mauricio,nio_mc-a0-26ww15f
parmioasf_uio_0,atspeed_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,atspeed_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,ijtag_basic_tap_tests_rw_access,FAIL,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,parmioasf_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmioasf_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,parmiocpc_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocpc_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,parmiocxlrx_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiocxlrx_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,parmiootc_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiootc_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,parmiopcie6trcore_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmiopcie6trcore_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,atspeed_edt_bypass_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,atspeed_edt_edt_low_internal_serial_scan,FAIL,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,ijtag_basic_tap_tests_rw_access,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,parmioula_uio_0_ub_i_ult_scan_ctlr_stuckat_edt_bypass_low_internal_scandump,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,stuckat_edt_bypass_low_internal_burnin_togcnt_cap_off,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,stuckat_edt_bypass_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,stuckat_edt_bypass_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,stuckat_edt_edt_low_internal_serial_chain,PASS,Mauricio,nio_uio-a0-26ww15a
parmioula_uio_0,stuckat_edt_edt_low_internal_serial_scan,PASS,Mauricio,nio_uio-a0-26ww15a
